model_name,comments_size_bytes,comments_size_kb,comments_lines,comments_characters,comments_tokens,comments_words,tla_size_bytes,tla_size_kb,tla_lines,tla_characters,tla_tokens,tla_words,cfg_size_bytes,cfg_size_kb,cfg_lines,cfg_characters,cfg_tokens,cfg_words,total_size_bytes,total_size_kb,total_tokens,reasoning_tokens,default_tokens
Majority,1941,1.9,28,1914,307,224,,,,,,,,,,,,,1941,1.9,307,307,
MajorityProof,688,0.67,9,680,49,28,,,,,,,,,,,,,688,0.67,49,49,
MCParReach,,,,,,,,,,,,,174,0.17,10,174,64,26,174,0.17,64,,64
MCReachabilityTest,,,,,,,,,,,,,,,,,,,,,,,
MCReachable,,,,,,,,,,,,,197,0.19,9,197,64,26,197,0.19,64,,64
ParReach,8992,8.78,146,8847,1659,1190,,,,,,,,,,,,,8992,8.78,1659,1659,
ParReachProofs,583,0.57,9,575,101,63,,,,,,,,,,,,,583,0.57,101,101,
Reachability,3097,3.02,48,3050,587,424,,,,,,,,,,,,,3097,3.02,587,587,
ReachabilityProofs,12892,12.59,191,12702,2094,1421,,,,,,,,,,,,,12892,12.59,2094,2094,
ReachabilityTest,6782,6.62,97,6686,1183,864,,,,,,,,,,,,,6782,6.62,1183,1183,
Reachable,11314,11.05,173,11142,2247,1481,,,,,,,,,,,,,11314,11.05,2247,2247,
ReachableProofs,8435,8.24,128,8308,1336,916,,,,,,,,,,,,,8435,8.24,1336,1336,
MissionariesAndCannibals,12458,12.17,187,12272,2331,1724,,,,,,,121,0.12,11,121,49,18,12579,12.28,2380,2331,49
Elevator,3452,3.37,54,3399,601,509,,,,,,,,,,,,,3452,3.37,601,601,
MultiPaxos,12336,12.05,326,12011,2970,1703,,,,,,,,,,,,,12336,12.05,2970,2970,
MultiPaxos_MC,265,0.26,9,257,34,17,,,,,,,220,0.21,15,220,75,25,485,0.47,109,34,75
Queens,2584,2.52,44,2541,475,366,,,,,,,,,,,,,2584,2.52,475,475,
QueensPluscal,2925,2.86,61,2865,610,431,,,,,,,,,,,,,2925,2.86,610,610,
MCNano,2130,2.08,32,2099,400,290,,,,,,,,,,,,,2130,2.08,400,400,
Nano,4324,4.22,62,4263,515,380,,,,,,,,,,,,,4324,4.22,515,515,
nbacc_ray97,1592,1.55,35,1558,392,265,,,,,,,52,0.05,4,52,16,8,1644,1.61,408,392,16
nbacg_guer01,2609,2.55,50,2560,512,435,,,,,,,121,0.12,5,121,35,13,2730,2.67,547,512,35
Consensus,10174,9.94,157,10018,1777,1282,,,,,,,,,,,,,10174,9.94,1777,1777,
MCConsensus,615,0.6,13,603,67,42,,,,,,,91,0.09,5,91,27,12,706,0.69,94,67,27
MCPaxos,2350,2.29,37,2314,338,211,,,,,,,351,0.34,13,351,138,45,2701,2.64,476,338,138
MCVoting,1709,1.67,29,1681,210,127,,,,,,,286,0.28,12,286,101,32,1995,1.95,311,210,101
Paxos,8568,8.37,116,8453,1304,912,,,,,,,,,,,,,8568,8.37,1304,1304,
Voting,6232,6.09,86,6147,784,535,,,,,,,,,,,,,6232,6.09,784,784,
Consensus,10174,9.94,157,10018,1777,1282,,,,,,,,,,,,,10174,9.94,1777,1777,
MCConsensus,615,0.6,13,603,67,42,,,,,,,91,0.09,5,91,27,12,706,0.69,94,67,27
MCPaxos,2350,2.29,37,2314,338,211,,,,,,,,,,,,,2350,2.29,338,338,
MCVoting,1709,1.67,29,1681,210,127,,,,,,,286,0.28,12,286,101,32,1995,1.95,311,210,101
Paxos,8568,8.37,116,8453,1304,912,,,,,,,,,,,,,8568,8.37,1304,1304,
Voting,6232,6.09,86,6147,784,535,,,,,,,,,,,,,6232,6.09,784,784,
MCPrisoners,1287,1.26,20,1268,191,142,,,,,,,,,,,,,1287,1.26,191,191,
Prisoners,8725,8.52,123,8603,1060,779,,,,,,,138,0.13,5,138,42,18,8863,8.66,1102,1060,42
MC,197,0.19,5,193,53,30,,,,,,,259,0.25,12,259,82,30,456,0.45,135,53,82
ReadersWriters,693,0.68,20,672,99,57,,,,,,,,,,,,,693,0.68,99,99,
FastPaxos,2285,2.23,35,2251,504,379,,,,,,,495,0.48,21,495,244,87,2780,2.71,748,504,244
Paxos,8568,8.37,116,8453,1304,912,,,,,,,392,0.38,19,392,184,67,8960,8.75,1488,1304,184
MC,197,0.19,5,193,53,30,,,,,,,259,0.25,12,259,82,30,456,0.45,135,53,82
SingleLaneBridge,692,0.68,13,680,156,114,,,,,,,,,,,,,692,0.68,156,156,
SlidingPuzzles,992,0.97,13,980,100,79,,,,,,,54,0.05,5,54,20,7,1046,1.02,120,100,20
Slush,4478,4.37,155,4322,1095,577,,,,,,,,,,,,,4478,4.37,1095,1095,
MC_spanning,,,,,,,,,,,,,159,0.16,9,159,60,23,159,0.16,60,,60
spanning,74,0.07,2,73,24,12,,,,,,,,,,,,,74,0.07,24,24,
SpanTree,8517,8.32,121,8397,1557,1152,,,,,,,240,0.23,10,240,109,39,8757,8.55,1666,1557,109
SpanTreeRandom,2579,2.52,42,2538,503,366,,,,,,,161,0.16,9,161,58,24,2740,2.68,561,503,58
SpanTreeTest,1747,1.71,25,1723,308,217,,,,,,,,,,,,,1747,1.71,308,308,
Stones,4868,4.75,74,4795,927,665,,,,,,,28,0.03,4,28,15,7,4896,4.78,942,927,15
MC_sums_even,,,,,,,,,,,,,50,0.05,4,50,18,7,50,0.05,18,,18
TLAPS,15358,15.0,280,15079,2869,1436,,,,,,,,,,,,,15358,15.0,2869,2869,
sums_even,311,0.3,6,306,84,59,,,,,,,,,,,,,311,0.3,84,84,
MCtcp,502,0.49,7,496,110,83,,,,,,,312,0.3,27,312,90,36,814,0.79,200,110,90
tcp,1688,1.65,33,1656,437,279,,,,,,,,,,,,,1688,1.65,437,437,
Simple,4822,4.71,82,4741,926,586,,,,,,,66,0.06,4,66,20,10,4888,4.77,946,926,20
SimpleRegular,5289,5.17,87,5203,1034,727,,,,,,,67,0.07,4,67,20,10,5356,5.23,1054,1034,20
TLCMC,5577,5.45,125,5453,965,712,,,,,,,,,,,,,5577,5.45,965,965,
TestGraphs,631,0.62,20,612,147,85,,,,,,,106,0.1,10,106,29,12,737,0.72,176,147,29
Bits,1871,1.83,35,1837,469,233,,,,,,,,,,,,,1871,1.83,469,469,
Hanoi,5318,5.19,74,5245,629,440,,,,,,,,,,,,,5318,5.19,629,629,
HanoiSeq,4271,4.17,61,4211,531,388,,,,,,,,,,,,,4271,4.17,531,531,
2PCwithBTM,2774,2.71,69,2706,629,310,,,,,,,121,0.12,7,121,44,17,2895,2.83,673,629,44
PaxosCommit,9638,9.41,140,9499,1461,947,,,,,,,154,0.15,8,154,71,25,9792,9.56,1532,1461,71
TCommit,2573,2.51,35,2539,220,145,,,,,,,103,0.1,5,103,35,13,2676,2.61,255,220,35
TwoPhase,3162,3.09,45,3118,457,316,,,,,,,68,0.07,4,68,26,10,3230,3.15,483,457,26
TransitiveClosure,7423,7.25,106,7318,1333,965,,,,,,,1,0.0,1,1,1,0,7424,7.25,1334,1333,1
Alternate,1498,1.46,23,1476,278,186,,,,,,,,,,,,,1498,1.46,278,278,
MCTwoPhase,,,,,,,,,,,,,34,0.03,3,34,8,4,34,0.03,8,,8
TLAPS,15358,15.0,280,15079,2869,1436,,,,,,,,,,,,,15358,15.0,2869,2869,
TwoPhase,3162,3.09,45,3118,457,316,,,,,,,,,,,,,3162,3.09,457,457,
MCYoYoNoPruning,166,0.16,4,163,97,19,,,,,,,91,0.09,9,91,28,8,257,0.25,125,97,28
MCYoYoPruning,166,0.16,4,163,97,19,,,,,,,175,0.17,12,175,50,19,341,0.33,147,97,50
YoYoAllGraphs,4899,4.78,72,4828,644,460,,,,,,,136,0.13,12,136,42,14,5035,4.92,686,644,42
YoYoNoPruning,7011,6.85,101,6911,1037,765,,,,,,,,,,,,,7011,6.85,1037,1037,
YoYoPruning,6258,6.11,91,6168,914,691,,,,,,,,,,,,,6258,6.11,914,914,
